source_type,source_file,doc_id,contains_ubiquity_claim,claim_strength,claim_scope,confidence,evidence_sentences,rationale,citation,text_chars,snippets_used,keyword_hits,model_name,error
abstract,Abstracts_for_Monsoon.csv:row_3455,10.1098/rspb.2007.1494,True,qualified,endophytes_general,0.800,Persistence and ubiquity of vertically transmitted Neotyphodium endophytes in grass populations is puzzling,"The text mentions the 'ubiquity' of Neotyphodium endophytes in grass populations, suggesting that these fungi are found in many or most of them. However, the qualifier 'puzzling' indicates that this ubiquity is not necessarily straightforward or easily understood.",,1529,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3487,10.1093/database/baab061,True,explicit,botryosphaeriales (specific taxon),0.950,They are ubiquitous,"The text explicitly states that the members of Botryosphaeriales are 'ubiquitous', indicating their presence in various locations worldwide.",,1253,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3663,10.1007/s42161-023-01424-y,True,qualified,endophytes_general,0.800,The endophyte Biscogniauxia mediterranea and epiphyte Cytospora eucalypticola fungi were detected in all study locations and tree health conditions.,"The text explicitly states that the endophytes Biscogniauxia mediterranea and Cytospora eucalypticola are found in all study locations and tree health conditions, suggesting a widespread presence across different trees, which can be interpreted as a form of ubiquity.",,1899,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3735,10.1111/j.1462-2920.2009.02020.x,True,qualified,endophytes_general,0.900,The ubiquity and diversity of the secondary root-associated fungi should be considered in studies of mycorrhizal communities to avoid overestimating the richness of true symbionts.,"The text suggests that 'secondary root-associated fungi' (a subset of endophytes) are ubiquitous in mycorrhizal communities, which implies they are found in nearly all plants. However, the qualifier 'should be considered' indicates a degree of caution or suggestion rather than a definitive statement.",,1560,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3755,10.1007/s00203-014-0997-8,True,explicit,endophytes_general,1.000,"Aspergilli are filamentous, cosmopolitan and ubiquitous fungi",The text explicitly states that Aspergilli are cosmopolitan and ubiquitous fungi.,,1679,1,2,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3767,10.1139/b85-186,True,explicit,endophytes_general,0.900,The endophyte Rhizoctonia was present in every pot culture.,"The text explicitly states that the Rhizoctonia endophyte was found in every pot culture, which suggests a near-universal presence across the studied cultures. However, it's important to note that this study only examined seventeen pot cultures of V-A mycorrhizal fungi, and it's unclear whether this finding extends to all plants.",,1741,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4215,10.1080/00275514.2019.1631063,True,qualified,endophytes_general,0.800,Species of Apiognomonia are some of the most ubiquitous leaf-associated fungi of broad-leaved trees of the northern temperate zone.,"The claim is inferred from the statement 'Species of Apiognomonia are some of the most ubiquitous leaf-associated fungi', which suggests that Apiognomonia species, a subset of endophytes, are found in a large number of broad-leaved trees in the northern temperate zone.",,1234,1,2,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4227,10.3389/fmicb.2022.855110,True,qualified,endophytes_general,0.850,"Several fungal taxa known as nematode BCA were identified, with endophytes, almost only present in the banana samples.","The text suggests that certain fungal endophytes are predominantly found in banana samples, which implies a near-ubiquity claim for these specific endophytes in banana plants.",,2714,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4235,10.1016/j.jare.2023.12.007,True,qualified,endophytes_general,0.850,Fungal endophytes are widely distributed among diverse plant species.,"The text explicitly states that fungal endophytes are found in a wide range of plant species, which can be interpreted as a qualified claim for their ubiquity.",,193,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4531,10.1080/00275514.2018.1516960,True,qualified,endophytes_general,0.850,"Endophytic and endolichenic stages were deduced for P. highlandensis, the most widely distributed of the pyrophilous Pholiota.","The text suggests that endophytic stages are found in the most widely distributed pyrophilous species of Pholiota (P. highlandensis), implying a widespread presence of fungal endophytes in this specific group of fungi.",,1618,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4571,10.3897/mycokeys.65.47704,True,qualified,endophytes_general,0.850,Several isolates confirmed to be ubiquitous plant pathogens or endophytes were for the first time identified from soil,"The text states that several isolates (samples of fungi) were identified as being ubiquitous plant pathogens or endophytes, which implies they can be found in various plants. However, the claim is qualified because it only refers to certain fungal endophytes within the family Didymellaceae.",,1804,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4587,10.3114/sim0019,True,qualified,endophytes_general,0.850,"Based on the data generated here, 170 species names, many of which are shown to be synonyms of the ubiquitous endophyte P. capitalensis.","The text states that many species names are synonyms of the ubiquitous endophyte P. capitalensis, implying a widespread presence of this specific endophyte, but not necessarily stating that all endophytes in the Phyllosticta genus are ubiquitous.",,1255,1,2,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4779,10.1016/j.funeco.2017.10.006,True,explicit,endophytes_general,0.950,Members of the Phialocephala fortinii s.l. - Acephala applanata species complex (PAC) are ubiquitous endophytes,"The text explicitly states that Phialocephala fortinii s.l. - Acephala applanata species complex (PAC) are ubiquitous endophytes, meaning they are found in a wide range of plants across the Northern hemisphere.",(C) 2017 Elsevier Ltd and British Mycological Society,1270,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_4803,10.1111/nph.15567,True,explicit,endophytes_general,0.950,Verticillium dahliae was recovered from all hosts.,"The text explicitly states that Verticillium dahliae was found in all hosts tested, which includes a variety of plant species. This implies a claim that this fungus is ubiquitous among the tested plants, although the scope remains limited to Verticillium dahliae as a specific fungal endophyte.",,1507,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_5211,10.7717/peerj.9514,True,explicit,endophytes_general,0.950,Bacterial endophytes were recovered from the majority of the Brassica accessions screened.,"The text states that bacterial endophytes were recovered from the majority of the Brassica accessions screened, implying they are common or ubiquitous in these plants.",,2969,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_5255,10.1094/PHYTO.2002.92.5.464,True,explicit,endophytes_general,1.000,"G. mangiferae occurs in the European Union and the United States on many host species including citrus,","The text explicitly states that G. mangiferae, a specific endophytic fungus, occurs in the European Union and the United States on many host species including citrus, implying its ubiquity in those regions.",,2123,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_5403,10.1007/s13225-012-0200-y,True,qualified,endophytes_general,0.900,"Based on extensive collecting, this species-rich genus is now known to have a world wide distribution in primarily temperate areas, although some species are known from the subtropics.","The text states that the genus Ophiognomonia, which includes endophytes, has a worldwide distribution in primarily temperate areas and is also found in subtropics. While it doesn't explicitly claim they are found in nearly all plants, the widespread geographical distribution suggests a broad presence.",,1127,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_5919,10.1007/s40502-019-00494-4,True,explicit,endophytes_general,0.950,"In addition to the pathogens, many beneficial organisms such as endophytes, of both, bacterial and fungal origin, are ubiquitously present in all plants.",The text explicitly states that 'endophytes...are ubiquitously present in all plants' which implies that the claim is about the ubiquity of endophytes across different plant species.,,686,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6035,10.1177/104063870101300518,True,qualified,endophytes_general,0.800,"The method was applied to 15 tall fescue samples with varying degrees of fungal infection, and ergovaline was identified in all contaminated samples with endophyte infection above 15%.","The text states that ergovaline (a metabolite associated with fungal endophytes) was found in all contaminated tall fescue samples with endophyte infection above 15%. While the claim is qualified by the specific plant type (tall fescue), it suggests a near-universal presence of endophytes in this particular plant.",,1529,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6159,10.3389/fmicb.2019.02794,True,explicit,endophytes_general,0.900,Species of the genus Trichoderma are ubiquitous in the environment.,"The text directly states that species of the genus Trichoderma are ubiquitous in the environment, which implies that they are present in a wide variety or even all environments. Given the context of this statement being about endophytes (fungal organisms living within plant tissues without causing disease), it can be reasonably assumed that this ubiquity claim extends to the group of fungal endophytes.",,1508,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6215,10.1127/nova_hedwigia/2025/0996,True,explicit,endophytes_general,0.950,"Ubiquitous endophytic fungi, residing asymptomatically within plant tissues,","The text explicitly states that endophytic fungi are 'ubiquitous', meaning they are found in many or most places or situations, which aligns with the definition of ubiquity.",,1398,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6291,10.1139/x88-087,True,explicit,endophytes_general,0.900,The fungus occurred in the needles of nearly every tree examined,"The text explicitly states that the endophytic fungus Meria parkeri was found 'in the needles of nearly every tree examined', implying a wide prevalence or ubiquity among Douglas-fir trees.",,756,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6359,10.1016/j.femsec.2005.04.011,True,qualified,endophytes_general,0.900,All plant roots surveyed were co-colonized by arbuscular mycorrhizal and dark septate endophytic fungi in this grassland.,"The text states that all plant roots surveyed were co-colonized by arbuscular mycorrhizal and dark septate endophytic fungi, suggesting a high prevalence or ubiquity of these fungal endophytes in the particular grassland under investigation.",2005 Federation of European Microbiological Societies. Published by Elsevier B.V.,967,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6519,10.1046/j.1469-8137.2001.00132.x,True,explicit,endophytes_general,0.950,Dark-septate endophytic (DSE) fungi are ubiquitous in the roots of Arctic and alpine plants,The text explicitly states that DSE fungi are ubiquitous in the roots of Arctic and alpine plants.,,1329,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6527,10.1016/j.funeco.2015.12.006,True,qualified,endophytes_general,0.900,"Each stratum presented a particular composition and diversity of endophytes, although the whole population was characterized by the presence of a few dominant and apparently ubiquitous species","The text mentions 'a few dominant and apparently ubiquitous species' among endophytes, implying that certain endophytic fungal species may be found across multiple plant strata in tropical forests.",(C) 2015 Elsevier Ltd and The British Mycological Society,1122,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6543,10.1016/j.ygeno.2024.110925,True,explicit,endophytes_general,0.950,Almost all terrestrial plants on Earth have endophytic fungi.,"The text explicitly states that almost all terrestrial plants on Earth have endophytic fungi, implying a high likelihood of ubiquity for these fungal endophytes.",,1633,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6599,10.14719/pst.3045,True,explicit,endophytes_general,0.950,Endophytic fungi are ubiquitous in plant kingdom.,The text explicitly states that endophytic fungi are present throughout the plant kingdom.,,2115,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6707,10.1007/s00572-001-0146-5,True,explicit,endophytes_general,0.900,The roots of all the individuals examined contained typical structures of dark septate fungal endophytes.,"The text states that 'dark septate fungal endophytes were found in the roots of all the individuals examined', which implies a claim of ubiquity for these specific endophytes in Gaultheria poeppiggi.",,579,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6803,10.1371/journal.pone.0146983,True,explicit,endophytes_general,0.950,Endophytic fungi are ubiquitous plant endosymbionts,"The text directly states that 'endophytic fungi' (a group of organisms) are 'ubiquitous', meaning they are found in many or almost every instance within a particular environment. In this case, the environment is plants.",,1168,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6811,10.1128/AEM.01911-09,True,explicit,endophytes_general,0.950,Microscopy confirmed the ubiquitousness of dark septate endophytes (DSEs) and sclerotium-like structures in root tissues.,"The text explicitly states that dark septate endophytes (DSEs) are ubiquitous in the root tissues of wild rice, implying a near-universal presence of fungal endophytes in this specific plant.",,1938,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_6903,10.1007/s00572-003-0222-0,True,qualified,endophytes_general,0.800,"The continuous intimate association with all sieve elements, cortical and epidermal cells as well as external extension on the root surface and into the soil indicates that they are systemic and considerably more prevalent than previously thought. || It is suggested that those fungi that non-pathogenically and totally colonize plant cells be classed as systemic endophytic fungi (SEF).","The text suggests that these fungal endophytes are more prevalent than previously thought, and they are classified as systemic endophytic fungi (SEF), implying a broader and more systemic presence in plants compared to what was initially believed.",,1853,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7139,10.3390/jof9101016,True,explicit,endophytes_general,1.000,Fungal endophytes are harboured in the leaves of every individual plant host,The text explicitly states that fungal endophytes are present in every individual plant host.,,1756,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7195,10.1002/ece3.2416,True,explicit,endophytes_general,0.900,"Several lines of evidence point out that nonmycorrhizal, root endophytic fungi in the Ascomycota may have the potential to drive changes in plant community ecology given their ubiquitous presence","The text directly states that 'nonmycorrhizal, root endophytic fungi in the Ascomycota' are 'ubiquitous', implying they are found in many or most places.",,1893,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7235,10.1139/W02-112,True,explicit,endophytes_general,0.900,Endophytes were isolated from all tissue samples investigated,"The text explicitly states that endophytes were isolated from all tissue samples (stems, petioles, midribs, and leaves) investigated, which implies a near-universal presence of endophytes in the given tree species.",,725,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7627,10.1098/rspb.2017.0641,True,qualified,endophytes_general,0.900,All plant leaves host foliar endophytic fungi.,"The text asserts that all plant leaves host foliar endophytic fungi, which implies a wide distribution of these fungi across different plants. However, the claim is qualified because it does not specify the percentage or exact number of plants they are found in.",,1490,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7687,10.1016/j.funeco.2019.100876,True,explicit,endophytes_general,1.000,Foliar endophytic fungi are present in almost all vascular plants.,"The text directly states that foliar endophytic fungi are present in almost all vascular plants, suggesting a claim of ubiquity for these fungal endophytes.",,1373,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7779,10.1021/jf970117f,True,explicit,endophytes_general,0.900,Ergosterol was present in all endophytic fungi tested,"The text states that ergosterol was found in all the endophytic fungi tested, implying a ubiquitous presence of endophytes among the tested fungal species.",,1070,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_8103,10.33687/phytopath.011.01.3897,True,explicit,endophytes_general,0.950,"Thus, the present study clearly demonstrated that fungal isolates, occurring ubiquitously within potato plants,","The text explicitly states that the fungal isolates occur 'ubiquitously' within potato plants, which implies they are found in nearly all parts of the plant.",,1572,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_8151,10.1111/1365-2745.13314,True,explicit,endophytes_general,0.950,Despite the ubiquitous presence of fungal endophytes in woody plants,"The text states that fungal endophytes are 'ubiquitous' in woody plants, indicating their presence in most or all such plants.",,2357,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_8375,10.1111/1365-2745.13584,True,qualified,endophytes_general,0.800,The mycobiome (fungal microbiome) influences plants-from seed germination to full maturation. || Endophytes were obtained from all six plant species growing under controlled conditions in northern (new range of the range expander) and southern (native range of the range expander) soils.,"The text suggests that endophytic fungi are present in a variety of plants across different growth stages, as they were isolated from six plant species growing under controlled conditions in both the original and new ranges. However, the claim is qualified because it does not explicitly state that they are ubiquitous or found in nearly all plants.",,1780,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_8619,10.1016/j.funeco.2010.02.001,True,explicit,endophytes_general,0.950,Fungal DNA was extracted from all 11 tree species. || Analysis of sequences from DNA libraries revealed the presence of species not previously considered to be latently present.,"The text explicitly states that 'wood decay fungi are latently present in functional sapwood of all angiosperm trees' and the authors demonstrate the presence of previously unconsidered species, suggesting a broad prevalence.",(C) 2010 Elsevier Ltd and The British Mycological Society,1410,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_8755,10.1111/j.1574-6941.2007.00443.x,True,explicit,endophytes_general,0.900,All plant species examined were colonized by endophytic fungi.,"The text explicitly states that all the plant species examined (24 in total) were colonized by endophytic fungi, implying a broad distribution of these organisms across different plants.",,1487,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_9387,10.1134/S1062359023602550,True,qualified,endophytes_general,0.800,The ubiquitous distribution of Nigrospora fungi in the mycobiota of cereal grain in Russia has been established.,"The text mentions the 'ubiquitous distribution' of a specific type of endophyte (Nigrospora fungi) in the mycobiota of cereal grain in Russia, implying a wide distribution across that particular plant category.",,714,1,2,mistral,
abstract,Abstracts_for_Monsoon.csv:row_9407,10.1007/s11557-007-0541-1,True,qualified,endophytes_general,0.800,Most endophytes proved to be ubiquitous within the canopy of the investigation site,"The text states that most endophytes found in a specific study were ubiquitous within the canopy of the investigation site, suggesting a widespread presence. However, the qualifier 'most' indicates that not all endophytes may be ubiquitous.",,1738,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_9495,10.1590/S1516-8913201402043,True,explicit,endophytes_general,1.000,Endophytes are found in almost all living plant species reported so far.,"The text explicitly states that endophytes are found in almost all living plant species reported so far, thus asserting their ubiquity.",,826,1,0,mistral,
